mean_x,mean_y,mean_z,min_x,min_y,min_z,max_x,max_y,max_z,median_x,median_y,median_z
-0.0278,0.98998,-0.03764,-0.032,0.985,-0.041,-0.023,1.0,-0.029,-0.029,0.991,-0.038
-0.02798,0.99004,-0.03776,-0.032,0.982,-0.041,-0.023,1.0,-0.029,-0.029,0.991,-0.038
-0.02765,0.99052,-0.0377,-0.032,0.982,-0.041,-0.023,1.0,-0.029,-0.029,0.991,-0.038
-0.0277,0.99067,-0.03785,-0.038,0.985,-0.05,-0.018,1.0,-0.026,-0.029,0.991,-0.038
-0.02827,0.99022,-0.03755,-0.044,0.985,-0.05,-0.018,0.997,-0.026,-0.029,0.991,-0.038
-0.02816,0.98995,-0.03752,-0.044,0.985,-0.041,-0.018,0.997,-0.029,-0.029,0.991,-0.038
-0.02795,0.98983,-0.03767,-0.038,0.988,-0.041,-0.023,0.997,-0.035,-0.029,0.991,-0.038
-0.02784,0.99026,-0.03775,-0.047,0.977,-0.056,-0.009,1.003,-0.018,-0.029,0.991,-0.038
-0.02789,0.99008,-0.03766,-0.047,0.977,-0.056,-0.009,1.003,-0.018,-0.029,0.991,-0.038
-0.02792,0.98989,-0.03728,-0.041,0.985,-0.044,-0.018,0.997,-0.029,-0.029,0.991,-0.038
-0.02764,0.99031,-0.03672,-0.041,0.985,-0.053,-0.015,0.997,-0.018,-0.029,0.991,-0.038
-0.02763,0.99031,-0.03633,-0.041,0.985,-0.053,-0.015,0.997,-0.018,-0.029,0.991,-0.035
-0.02789,0.99013,-0.03674,-0.041,0.988,-0.053,-0.018,0.997,-0.023,-0.029,0.991,-0.038
-0.02819,0.99037,-0.03695,-0.038,0.988,-0.053,-0.023,0.997,-0.023,-0.029,0.991,-0.038
-0.02832,0.9907,-0.03689,-0.041,0.985,-0.053,-0.018,1.0,-0.026,-0.029,0.991,-0.038
-0.02835,0.9907,-0.0371,-0.041,0.985,-0.053,-0.018,1.0,-0.026,-0.029,0.991,-0.038
-0.02844,0.99061,-0.03724,-0.041,0.985,-0.056,-0.018,1.0,-0.018,-0.029,0.991,-0.038
-0.0284,0.99031,-0.03713,-0.044,0.985,-0.056,-0.015,0.997,-0.018,-0.0275,0.991,-0.038
-0.02862,0.98998,-0.03705,-0.047,0.985,-0.053,-0.009,0.997,-0.018,-0.0275,0.991,-0.038
-0.02864,0.99001,-0.03729,-0.047,0.985,-0.056,-0.009,0.997,-0.015,-0.029,0.991,-0.038
-0.0283,0.98977,-0.03744,-0.047,0.988,-0.056,-0.012,0.997,-0.015,-0.029,0.991,-0.038
-0.02835,0.98983,-0.03728,-0.044,0.988,-0.05,-0.015,0.997,-0.023,-0.029,0.991,-0.038
-0.02808,0.99016,-0.03734,-0.038,0.988,-0.044,-0.018,0.997,-0.029,-0.029,0.991,-0.038
-0.02851,0.99028,-0.03749,-0.038,0.988,-0.05,-0.018,0.997,-0.026,-0.029,0.991,-0.038
-0.02836,0.99031,-0.03725,-0.038,0.985,-0.05,-0.018,0.997,-0.026,-0.029,0.991,-0.038
-0.02811,0.98974,-0.03716,-0.038,0.985,-0.044,-0.018,0.997,-0.029,-0.029,0.991,-0.038
-0.02834,0.98959,-0.03746,-0.038,0.985,-0.041,-0.023,0.997,-0.029,-0.029,0.991,-0.038
-0.02807,0.98974,-0.03785,-0.032,0.985,-0.041,-0.023,0.997,-0.029,-0.029,0.991,-0.038
-0.02789,0.98983,-0.0377,-0.032,0.985,-0.044,-0.023,0.997,-0.029,-0.029,0.991,-0.038
